latitude,longitude
37.288939,127.1076006
37.2889399,127.1075978
37.2889402,127.1075971
37.2889404,127.1075964
37.2889406,127.1075957
37.2889408,127.1075949
37.2889411,127.1075943
37.288941300000005,127.1075936
37.2889415,127.1075929
37.2889417,127.1075924
37.288941900000005,127.1075917
37.2889421,127.1075911
37.2889423,127.1075904
37.2889424,127.1075897
37.2889427,127.107588
37.2889429,127.1075871
37.288943,127.1075863
37.2889433,127.1075854
37.2889436,127.1075845
37.2889439,127.1075836
37.2889442,127.1075826
37.2889445,127.1075818
37.2889448,127.1075809
37.2889451,127.1075801
37.2889454,127.1075793
37.2889455,127.1075786
37.2889458,127.1075777
37.288946,127.1075769
37.2889461,127.1075759
37.2889463,127.1075751
37.2889465,127.1075743
37.2889467,127.1075735
37.288947,127.1075726
37.2889476,127.1075707
37.288948000000005,127.1075698
37.2889483,127.1075688
37.2889485,127.107568
37.2889488,127.107567
37.288949,127.1075661
37.288949200000005,127.1075651
37.2889495,127.107564
37.2889496,127.107563
37.2889502,127.1075609
37.2889505,127.1075599
37.2889508,127.1075589
37.2889512,127.1075578
37.2889515,127.1075568
37.2889518,127.1075558
37.288952,127.1075549
37.2889523,127.107554
37.2889526,127.107553
37.2889531,127.1075511
37.2889533,127.10755
37.2889536,127.1075489
37.2889539,127.1075479
37.2889542,127.1075469
37.2889545,127.1075458
37.2889548,127.1075448
37.2889552,127.1075439
37.2889556,127.1075429
37.288955900000005,127.107542
37.2889561,127.1075411
37.2889563,127.10754
37.288956500000005,127.107539
37.2889566,127.107538
37.2889568,127.1075371
37.288957100000005,127.1075361
37.2889574,127.107535
37.2889578,127.107534
37.2889581,127.107533
37.2889587,127.1075311
37.288959,127.1075302
37.2889592,127.1075292
37.2889595,127.1075282
37.2889598,127.1075271
37.2889599,127.1075259
37.2889602,127.1075248
37.2889605,127.1075238
37.2889607,127.1075226
37.2889614,127.1075204
37.2889618,127.1075193
37.2889621,127.1075183
37.2889625,127.1075174
